número;región de tramitación;comuna de tramitación
42854-59131-FO;VI del Libertador General Bernardo O'Higgins;Lolol
48117-5559-MH;V de Valparaíso;Petorca
48437-35459-GB;IX de La Araucanía;Freire
94638-34640-EM;VII del Maule;Licantén
9344-57780-BB;V de Valparaíso;Zapallar
92417-90806-FM;III de Atacama;Freirina
82246-65681-MK;V de Valparaíso;Calera
20358-3395-BO;Metropolitana de Santiago;Lo Prado
14672-67473-GI;VII del Maule;Talca
46015-69800-OA;Metropolitana de Santiago;San Miguel
91346-347-BN;VIII del Bío-Bío;Tucapel
92200-90423-EB;VI del Libertador General Bernardo O'Higgins;Rancagua
55541-90933-MD;XVI de Ñuble;Ninhue
42208-86279-HO;VIII del Bío-Bío;Chiguayante
8060-26272-JD;Metropolitana de Santiago;La Pintana
98842-19460-FK;Metropolitana de Santiago;Lo Espejo
44247-74753-FJ;Metropolitana de Santiago;Alhué
31276-45422-NH;Metropolitana de Santiago;Vitacura
28950-70893-HD;IX de La Araucanía;Lonquimay
94971-1884-OO;VI del Libertador General Bernardo O'Higgins;Santa Cruz
1751-28012-EO;VIII del Bío-Bío;Cañete
82779-40158-BE;IX de La Araucanía;Curacautín
590-58959-FO;XII de Magallanes y de La Antártica Chilena;Porvenir
8200-76805-NK;VIII del Bío-Bío;Contulmo
43180-77445-JF;Metropolitana de Santiago;El Bosque
18878-79641-OD;XIV de Los Ríos;Los Lagos
90960-60035-BF;Metropolitana de Santiago;Cerro Navia
67183-13467-NE;VIII del Bío-Bío;Santa Juana
12388-44391-OD;VIII del Bío-Bío;Lota
16920-64825-BD;VIII del Bío-Bío;Quilaco
52559-9085-BN;XVI de Ñuble;Chillán
8206-59467-AN;VI del Libertador General Bernardo O'Higgins;Litueche
62007-4828-AF;X de Los Lagos;Maullín
51329-21391-NK;VIII del Bío-Bío;Cañete
2712-42273-MA;Metropolitana de Santiago;La Granja
94996-2568-IM;XVI de Ñuble;Quillón
95356-97252-HB;III de Atacama;Tierra Amarilla
55967-53339-ID;XVI de Ñuble;Bulnes
13991-70556-HB;V de Valparaíso;Rinconada
11650-34837-IH;VIII del Bío-Bío;Talcahuano
35146-42245-HH;VII del Maule;Linares
94530-25998-AF;XI de Aysén del General Carlos Ibáñez del Campo;Guaitecas
19273-24769-AF;XII de Magallanes y de La Antártica Chilena;Punta Arenas
73685-5535-JM;X de Los Lagos;Curaco de Vélez
5951-3449-JE;XII de Magallanes y de La Antártica Chilena;Porvenir
94777-75228-DK;V de Valparaíso;San Antonio
20520-73890-AA;XI de Aysén del General Carlos Ibáñez del Campo;Coihaique
63060-31809-OK;Metropolitana de Santiago;Pudahuel
4258-62892-NI;XVI de Ñuble;Quirihue
77521-71208-OK;IX de La Araucanía;Padre Las Casas
95359-97825-FA;X de Los Lagos;Quellón
60741-20669-BI;IX de La Araucanía;Lonquimay
4332-64132-BL;XIV de Los Ríos;Lanco
35732-32763-JJ;VIII del Bío-Bío;Arauco
72271-62549-DK;X de Los Lagos;Llanquihue
63363-12758-BK;VI del Libertador General Bernardo O'Higgins;Codegua
79401-56784-IA;VIII del Bío-Bío;Quilaco
37004-53111-GN;VIII del Bío-Bío;Santa Bárbara
14217-68587-BL;VI del Libertador General Bernardo O'Higgins;Marchihue
23187-95587-NE;Metropolitana de Santiago;Isla de Maipo
48894-35360-KF;V de Valparaíso;Valparaíso
18828-54055-FA;Metropolitana de Santiago;La Reina
6269-66475-HG;XI de Aysén del General Carlos Ibáñez del Campo;Tortel
752-54511-LI;X de Los Lagos;Fresia
83299-61636-OE;VIII del Bío-Bío;Tomé
53304-35482-LL;V de Valparaíso;Santo Domingo
94472-45988-LJ;II de Antofagasta;Sierra Gorda
29787-99642-KF;XV de Arica y Parinacota;Camarones
47914-86313-IE;XIV de Los Ríos;Panguipulli
74666-25063-OB;I de Tarapacá;Pica
95369-13270-BN;VII del Maule;Chanco
57232-63399-ML;XI de Aysén del General Carlos Ibáñez del Campo;Río Ibáñez
81748-12737-LB;IV de Coquimbo;Paiguano
64759-786-DL;II de Antofagasta;María Elena
48464-31126-BM;V de Valparaíso;San Antonio
21408-21278-ME;Metropolitana de Santiago;San Bernardo
75702-88664-LJ;IX de La Araucanía;Galvarino
79318-57079-AB;II de Antofagasta;Taltal
89980-23235-EG;IX de La Araucanía;Padre Las Casas
78940-94303-NH;VIII del Bío-Bío;Los Álamos
63555-77122-FJ;IX de La Araucanía;Renaico
13680-57084-FG;VI del Libertador General Bernardo O'Higgins;La Estrella
79536-53540-JB;IV de Coquimbo;Ovalle
57200-37514-EG;V de Valparaíso;San Esteban
76415-12037-OB;IV de Coquimbo;Monte Patria
96920-44528-IF;IX de La Araucanía;Temuco
76193-26643-NI;VII del Maule;Licantén
74839-63297-OO;VIII del Bío-Bío;Tirúa
34750-98637-BK;Metropolitana de Santiago;Independencia
57510-70651-BD;IV de Coquimbo;La Serena
81399-53552-NK;X de Los Lagos;Frutillar
41558-40685-LB;XVI de Ñuble;Quillón
78594-47231-AE;Metropolitana de Santiago;Padre Hurtado
5812-70796-KN;V de Valparaíso;Cabildo
4338-47714-MI;X de Los Lagos;San Pablo
99299-24528-GK;XVI de Ñuble;Yungay
34943-94351-FF;VIII del Bío-Bío;Concepción
46614-94695-GL;XVI de Ñuble;Portezuelo
5425-42649-LN;XVI de Ñuble;Chillán Viejo
51704-84436-DE;V de Valparaíso;La Cruz
77287-30760-KM;V de Valparaíso;Calera
23607-33129-IO;VI del Libertador General Bernardo O'Higgins;Malloa
79915-8615-FN;XV de Arica y Parinacota;General Lagos
6113-11265-ID;V de Valparaíso;Juan Fernández
72178-98008-KI;IX de La Araucanía;Padre Las Casas
41386-34367-LO;VII del Maule;Rauco
50457-30286-GG;III de Atacama;Vallenar
95215-27696-FH;V de Valparaíso;Quilpué
80330-73142-FI;X de Los Lagos;Dalcahue
47619-78369-MH;III de Atacama;Chañaral
4718-72476-NH;X de Los Lagos;Castro
99069-24829-BI;IX de La Araucanía;Collipulli
61142-44122-NB;VIII del Bío-Bío;Tomé
17874-56691-KB;XV de Arica y Parinacota;Camarones
75903-41934-KJ;IX de La Araucanía;Lautaro
93566-62954-GI;VIII del Bío-Bío;Arauco
83048-10489-BE;VII del Maule;Molina
62410-11664-DE;II de Antofagasta;Ollagüe
2876-96912-BL;XII de Magallanes y de La Antártica Chilena;Torres del Paine
92467-29927-BD;V de Valparaíso;Viña del Mar
77080-98655-KE;Metropolitana de Santiago;Pudahuel
18790-26091-AF;Metropolitana de Santiago;La Pintana
18924-21494-MN;XVI de Ñuble;San Fabián
88138-40778-NA;Metropolitana de Santiago;Conchalí
88903-48040-DI;IX de La Araucanía;Lonquimay
33066-60209-IB;Metropolitana de Santiago;Las Condes
42445-44860-EA;VIII del Bío-Bío;Santa Juana
78189-94238-EF;XVI de Ñuble;Bulnes
85811-59646-JF;VIII del Bío-Bío;Tirúa
3321-74651-KM;XII de Magallanes y de La Antártica Chilena;Primavera
15257-36305-JH;VIII del Bío-Bío;Tucapel
20920-39647-DI;X de Los Lagos;Llanquihue
82716-2503-EK;Metropolitana de Santiago;Curacaví
51649-96076-LK;IX de La Araucanía;Saavedra
96835-75425-OJ;VII del Maule;Constitución
58704-76400-BB;VII del Maule;Vichuquén
83645-79502-DK;VI del Libertador General Bernardo O'Higgins;Palmilla
15161-90991-GE;V de Valparaíso;Limache
4086-58194-GN;IX de La Araucanía;Los Sauces
44364-65549-BJ;IV de Coquimbo;Vicuña
33964-24189-MG;VIII del Bío-Bío;Santa Bárbara
82108-79922-JB;Metropolitana de Santiago;Vitacura
67125-3883-BM;VIII del Bío-Bío;San Rosendo
23536-82782-KE;Metropolitana de Santiago;Lo Barnechea
2891-38622-LB;V de Valparaíso;El Tabo
89403-95314-BL;V de Valparaíso;Juan Fernández
20660-63897-FG;VI del Libertador General Bernardo O'Higgins;Codegua
40781-34773-EK;VII del Maule;Cauquenes
68649-71523-JB;Metropolitana de Santiago;Lo Barnechea
83484-70808-OJ;Metropolitana de Santiago;El Monte
39072-32751-BN;V de Valparaíso;Calle Larga
11762-18608-BD;Metropolitana de Santiago;Maipú
89635-67958-MD;XVI de Ñuble;El Carmen
69547-43399-NB;III de Atacama;Copiapó
18020-49239-OE;XII de Magallanes y de La Antártica Chilena;Cabo de Hornos
44276-51200-JF;XVI de Ñuble;San Ignacio
71269-57048-HJ;Metropolitana de Santiago;Las Condes
72281-9440-IO;Metropolitana de Santiago;La Pintana
63288-64271-EN;VIII del Bío-Bío;Los Álamos
40306-66910-JB;IX de La Araucanía;Cunco
82303-34315-NJ;XIV de Los Ríos;Lanco
73000-96625-JO;Metropolitana de Santiago;La Reina
88683-98756-HL;X de Los Lagos;Osorno
9775-92133-MG;VI del Libertador General Bernardo O'Higgins;Requínoa
29459-11130-GJ;III de Atacama;Chañaral
55381-6804-EJ;II de Antofagasta;San Pedro de Atacama
29905-19195-BL;V de Valparaíso;Olmué
37965-62757-OI;VIII del Bío-Bío;Los Ángeles
42191-64142-KE;VI del Libertador General Bernardo O'Higgins;Peralillo
11497-35815-HD;XVI de Ñuble;Quillón
63123-24021-ML;XIV de Los Ríos;Corral
51742-71953-KG;XVI de Ñuble;El Carmen
91849-76720-BH;XIV de Los Ríos;Valdivia
72684-56646-HJ;XVI de Ñuble;Portezuelo
92310-96136-HJ;XVI de Ñuble;Ñiquén
67477-54677-EL;VI del Libertador General Bernardo O'Higgins;San Vicente
349-77366-ML;V de Valparaíso;Santa María
53604-58910-DF;IV de Coquimbo;Ovalle
42828-96206-DF;VIII del Bío-Bío;Concepción
49607-63469-BJ;VIII del Bío-Bío;Yumbel
91051-60480-BD;VI del Libertador General Bernardo O'Higgins;Coltauco
68216-62088-ME;XVI de Ñuble;Pinto
20989-26688-FE;XVI de Ñuble;Pemuco
22461-30808-ND;VI del Libertador General Bernardo O'Higgins;Requínoa
8803-69130-DJ;VIII del Bío-Bío;Cañete
99100-3536-KN;IV de Coquimbo;Combarbalá
75642-35402-BN;Metropolitana de Santiago;San Ramón
39639-28107-IB;XIV de Los Ríos;Mariquina
8948-18662-EM;VII del Maule;Empedrado
38844-80041-DK;I de Tarapacá;Alto Hospicio
52940-14177-LN;IX de La Araucanía;Carahue
79113-10400-EB;Metropolitana de Santiago;La Granja
70852-79869-GD;XI de Aysén del General Carlos Ibáñez del Campo;Río Ibáñez
99427-94645-MJ;VII del Maule;Cauquenes
88798-17346-FI;III de Atacama;Chañaral
92863-87297-KM;VI del Libertador General Bernardo O'Higgins;Peralillo
12053-80610-AL;XVI de Ñuble;Treguaco
7381-82925-KJ;VII del Maule;Vichuquén
51200-35467-KM;VIII del Bío-Bío;Tirúa
46024-1496-HF;XI de Aysén del General Carlos Ibáñez del Campo;Tortel
46752-65558-FM;V de Valparaíso;Viña del Mar
46242-96045-EL;VI del Libertador General Bernardo O'Higgins;La Estrella
10226-28824-KB;VII del Maule;San Rafael
83871-82421-BH;VII del Maule;San Clemente
41704-26878-BB;Metropolitana de Santiago;Buin
84133-74581-LG;Metropolitana de Santiago;Pirque
21215-9721-BH;VIII del Bío-Bío;Arauco
10342-88373-KO;X de Los Lagos;Queilén
17466-15894-LD;XVI de Ñuble;Pemuco
4278-1447-MD;II de Antofagasta;Taltal
48418-34177-EB;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
92140-2973-BK;Metropolitana de Santiago;Curacaví
90685-43031-NL;XVI de Ñuble;Pinto
83871-47693-GB;X de Los Lagos;Palena
15137-33703-EI;Metropolitana de Santiago;Pedro Aguirre Cerda
87608-10520-KI;VIII del Bío-Bío;Los Ángeles
6483-91135-MB;IX de La Araucanía;Pucón
38004-75171-GD;XII de Magallanes y de La Antártica Chilena;Timaukel
65766-83690-FB;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
28359-71846-JD;V de Valparaíso;Rinconada
99689-74037-BB;VIII del Bío-Bío;Los Ángeles
35169-83604-BD;VIII del Bío-Bío;Tirúa
2477-28171-ME;V de Valparaíso;Viña del Mar
27464-3151-LB;XVI de Ñuble;Bulnes
18138-64944-JN;VIII del Bío-Bío;Negrete
60245-39466-HL;II de Antofagasta;María Elena
95341-71947-AK;VII del Maule;Cauquenes
74154-79145-HH;V de Valparaíso;Concón
33934-4932-MO;IX de La Araucanía;Purén
22463-34315-FK;VII del Maule;Pelluhue
66101-19892-OE;VII del Maule;Retiro
70626-81028-MG;XVI de Ñuble;Ránquil
41607-5174-HF;Metropolitana de Santiago;Talagante
96214-60545-HK;VIII del Bío-Bío;Concepción
87539-75261-LF;V de Valparaíso;Valparaíso
58546-93015-AF;IV de Coquimbo;Combarbalá
99469-37408-HK;VI del Libertador General Bernardo O'Higgins;Doñihue
42043-54953-EA;VIII del Bío-Bío;Quilleco
86509-34732-JL;Metropolitana de Santiago;El Monte
61938-39016-BH;IX de La Araucanía;Angol
92425-71536-BG;III de Atacama;Copiapó
2140-98761-BL;Metropolitana de Santiago;Talagante
5261-96296-JD;XVI de Ñuble;San Nicolás
25409-40536-OG;VII del Maule;Río Claro
21982-88460-LO;V de Valparaíso;Casablanca
65235-4561-NK;I de Tarapacá;Colchane
26148-37366-DH;V de Valparaíso;San Esteban
41592-45612-OE;XI de Aysén del General Carlos Ibáñez del Campo;Guaitecas
81622-65763-OL;Metropolitana de Santiago;Quilicura
66871-3457-BN;VI del Libertador General Bernardo O'Higgins;Chépica
54673-1365-BN;X de Los Lagos;Purranque
47729-39840-KD;IX de La Araucanía;Freire
96944-13841-IB;IV de Coquimbo;Monte Patria
1832-23252-HH;IV de Coquimbo;Los Vilos
52190-60780-DB;V de Valparaíso;Villa Alemana
11445-48477-BN;IX de La Araucanía;Galvarino
43208-52856-GB;XI de Aysén del General Carlos Ibáñez del Campo;Coihaique
93142-45833-BD;VIII del Bío-Bío;Talcahuano
28771-68233-BD;XIV de Los Ríos;Futrono
88511-20239-GF;VII del Maule;Teno
62573-97212-LG;Metropolitana de Santiago;Quinta Normal
9148-2272-GG;Metropolitana de Santiago;Melipilla
23116-57928-LO;VIII del Bío-Bío;Antuco
6072-41757-BF;VI del Libertador General Bernardo O'Higgins;Palmilla
83267-2813-AL;Metropolitana de Santiago;Calera de Tango
6807-66797-AB;VI del Libertador General Bernardo O'Higgins;Chépica
17857-13981-DB;IX de La Araucanía;Traiguén
73511-26184-OI;X de Los Lagos;Maullín
59772-31150-NM;III de Atacama;Freirina
4489-55565-KB;Metropolitana de Santiago;Padre Hurtado
72929-34335-NA;VI del Libertador General Bernardo O'Higgins;Doñihue
95278-48306-ND;V de Valparaíso;Quillota
86887-32790-AJ;VII del Maule;Linares
96111-5521-OF;V de Valparaíso;Cabildo
57372-71684-BB;VIII del Bío-Bío;Tucapel
69793-24573-JB;VI del Libertador General Bernardo O'Higgins;Graneros
71285-91822-MN;VII del Maule;Linares
92168-15343-DB;IV de Coquimbo;Combarbalá
46031-82066-FB;Metropolitana de Santiago;Pirque
49119-61696-EF;Metropolitana de Santiago;Pirque
32012-82311-MB;IX de La Araucanía;Padre Las Casas
76859-27724-DE;IV de Coquimbo;La Serena
85523-65731-FB;VIII del Bío-Bío;Tomé
18953-93286-IL;V de Valparaíso;Nogales
24734-39393-LK;Metropolitana de Santiago;Quilicura
93446-29113-DI;IV de Coquimbo;Vicuña
49912-50075-EI;V de Valparaíso;Algarrobo
7131-75882-BE;Metropolitana de Santiago;La Cisterna
84243-57982-LL;V de Valparaíso;Casablanca
19652-2018-FB;IX de La Araucanía;Curacautín
9942-27252-IF;Metropolitana de Santiago;San Bernardo
11829-55703-ON;IV de Coquimbo;Coquimbo
13654-45709-KD;Metropolitana de Santiago;Colina
64111-46216-MK;XIV de Los Ríos;La Unión
1770-16504-BL;VII del Maule;Linares
29209-91416-BB;X de Los Lagos;Chonchi
16731-37228-NB;X de Los Lagos;Dalcahue
72206-18850-HN;VII del Maule;Pelarco
54416-38023-NA;Metropolitana de Santiago;María Pinto
49643-62198-NA;Metropolitana de Santiago;San Bernardo
13054-95151-HD;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
53109-53046-FI;Metropolitana de Santiago;Calera de Tango
35426-73365-ND;XII de Magallanes y de La Antártica Chilena;Porvenir
66264-6359-OE;XIV de Los Ríos;Mariquina
75649-32685-JB;IX de La Araucanía;Galvarino
78281-2577-EI;VIII del Bío-Bío;Coronel
68501-6312-AE;Metropolitana de Santiago;Puente Alto
45522-32679-HI;VI del Libertador General Bernardo O'Higgins;Paredones
79140-20152-MK;VI del Libertador General Bernardo O'Higgins;Las Cabras
94751-58192-DJ;X de Los Lagos;Curaco de Vélez
91714-75403-MJ;Metropolitana de Santiago;Lo Prado
23505-30582-AM;III de Atacama;Tierra Amarilla
65262-74243-EJ;XII de Magallanes y de La Antártica Chilena;Timaukel
67669-3797-LH;VI del Libertador General Bernardo O'Higgins;Litueche
25903-57179-LB;XII de Magallanes y de La Antártica Chilena;Timaukel
13970-41860-GB;Metropolitana de Santiago;Vitacura
1316-74735-BM;Metropolitana de Santiago;Lo Espejo
37580-47777-BI;IV de Coquimbo;Ovalle
47357-58295-LA;IX de La Araucanía;Angol
87548-65814-KH;IX de La Araucanía;Purén
57355-81007-BN;VI del Libertador General Bernardo O'Higgins;San Fernando
26696-48141-BL;VII del Maule;Constitución
57951-88567-EL;III de Atacama;Chañaral
35915-17644-FG;XVI de Ñuble;Ránquil
37105-73408-HF;VII del Maule;Chanco
44569-97234-JH;VII del Maule;Pelarco
97149-77955-MG;VI del Libertador General Bernardo O'Higgins;Pichidegua
67582-37904-KM;V de Valparaíso;Rinconada
18291-96418-BK;X de Los Lagos;Puyehue
69684-79422-KL;X de Los Lagos;Calbuco
3171-78309-BB;VII del Maule;Licantén
90588-52955-MD;VIII del Bío-Bío;Florida
18703-7334-HF;V de Valparaíso;Cartagena
86597-73561-AG;XVI de Ñuble;San Ignacio
46964-99553-NA;VIII del Bío-Bío;Quilleco
10124-43886-ND;VI del Libertador General Bernardo O'Higgins;Coltauco
6932-43407-BN;VIII del Bío-Bío;Yumbel
71343-14464-FE;V de Valparaíso;Calera
15711-8653-HM;Metropolitana de Santiago;Estación Central
72156-69082-GI;II de Antofagasta;Tocopilla
79617-91295-FJ;IX de La Araucanía;Curarrehue
79622-21353-ME;III de Atacama;Huasco
18416-88109-IE;Metropolitana de Santiago;María Pinto
18766-97122-BJ;XI de Aysén del General Carlos Ibáñez del Campo;Río Ibáñez
18657-60599-MG;VI del Libertador General Bernardo O'Higgins;Graneros
33484-74747-BE;I de Tarapacá;Camiña
61610-56784-IN;X de Los Lagos;San Pablo
59485-10887-DB;Metropolitana de Santiago;La Granja
34789-49743-BN;XIV de Los Ríos;Río Bueno
3847-10801-MB;XIV de Los Ríos;Corral
7610-31006-KI;IX de La Araucanía;Teodoro Schmidt
15590-40829-ED;Metropolitana de Santiago;Peñaflor
28453-64601-HF;X de Los Lagos;Futaleufú
94587-61382-NI;VI del Libertador General Bernardo O'Higgins;Marchihue
41856-89251-AL;V de Valparaíso;San Esteban
45578-27705-KH;XI de Aysén del General Carlos Ibáñez del Campo;Lago Verde
65701-42480-BK;IV de Coquimbo;Coquimbo
69593-40453-NM;VII del Maule;Romeral
30899-44877-EG;X de Los Lagos;Llanquihue
40976-93734-HI;Metropolitana de Santiago;San Bernardo
31501-25785-GG;IV de Coquimbo;Canela
1246-16542-KA;V de Valparaíso;Puchuncaví
76640-95575-IL;VII del Maule;Curicó
69366-16896-DB;VIII del Bío-Bío;Quilaco
32920-33829-AA;XVI de Ñuble;Ñiquén
88660-92121-EH;VIII del Bío-Bío;Los Ángeles
53966-11609-NL;X de Los Lagos;Ancud
26876-14709-FL;XVI de Ñuble;Ninhue
13071-77391-LB;IX de La Araucanía;Curarrehue
88807-39573-NH;X de Los Lagos;San Juan de la Costa
25946-67162-BJ;VI del Libertador General Bernardo O'Higgins;Coinco
47993-12888-FL;XIV de Los Ríos;Valdivia
64689-65537-ED;Metropolitana de Santiago;Ñuñoa
84479-43756-BJ;III de Atacama;Diego de Almagro
52430-82747-IN;Metropolitana de Santiago;Lo Barnechea
26380-91752-BB;IX de La Araucanía;Pitrufquén
89859-81299-DF;VI del Libertador General Bernardo O'Higgins;Pichidegua
35783-47370-BK;V de Valparaíso;Quintero
64893-31026-LD;XII de Magallanes y de La Antártica Chilena;Laguna Blanca
80633-38095-OO;Metropolitana de Santiago;La Cisterna
34256-35500-FJ;IX de La Araucanía;Toltén
70796-34705-AI;VI del Libertador General Bernardo O'Higgins;Pumanque
121-48397-DD;XI de Aysén del General Carlos Ibáñez del Campo;Cochrane
77496-17088-JJ;XVI de Ñuble;San Nicolás
34369-9286-DN;XI de Aysén del General Carlos Ibáñez del Campo;Cisnes
47911-94548-LJ;III de Atacama;Chañaral
13131-94723-AF;Metropolitana de Santiago;Cerro Navia
26416-97350-AA;IX de La Araucanía;Villarrica
58216-10353-EJ;II de Antofagasta;Mejillones
4359-97370-MA;X de Los Lagos;Fresia
94469-78741-KA;X de Los Lagos;Futaleufú
22028-65668-DO;VIII del Bío-Bío;Yumbel
64082-71108-NE;IV de Coquimbo;Salamanca
68516-46733-FL;X de Los Lagos;Hualaihué
96462-49081-JK;VII del Maule;Colbún
68550-67002-LE;VIII del Bío-Bío;Mulchén
59780-31463-LE;Metropolitana de Santiago;Vitacura
52829-5691-BB;IV de Coquimbo;Illapel
75748-561-MN;XIV de Los Ríos;Río Bueno
93109-60688-KD;X de Los Lagos;Maullín
92947-17398-LF;VIII del Bío-Bío;Lota
4995-71842-NL;X de Los Lagos;Cochamó
23487-16057-EH;Metropolitana de Santiago;Curacaví
77476-91619-IB;Metropolitana de Santiago;Pedro Aguirre Cerda
12963-88380-EM;Metropolitana de Santiago;Tiltil
28954-45131-ED;XVI de Ñuble;Cobquecura
78541-4114-EE;X de Los Lagos;Río Negro
87815-58280-BM;XII de Magallanes y de La Antártica Chilena;Punta Arenas
46503-25724-HO;Metropolitana de Santiago;Quinta Normal
31774-77409-HD;XI de Aysén del General Carlos Ibáñez del Campo;Chile Chico
57966-22818-GB;XIV de Los Ríos;Futrono
89665-92179-GF;XIV de Los Ríos;Los Lagos
74309-44709-HI;VI del Libertador General Bernardo O'Higgins;Malloa
19748-78248-FG;VI del Libertador General Bernardo O'Higgins;Machalí
91910-70151-GF;XV de Arica y Parinacota;Camarones
84030-65169-GG;V de Valparaíso;Hijuelas
86523-15264-BF;XVI de Ñuble;San Nicolás
69113-62143-LH;Metropolitana de Santiago;Tiltil
1994-34801-DI;Metropolitana de Santiago;Las Condes
41127-48037-BE;VII del Maule;Maule
80259-46054-IB;Metropolitana de Santiago;San Bernardo
77508-24397-HJ;VI del Libertador General Bernardo O'Higgins;Rengo
88822-43707-NE;IV de Coquimbo;Andacollo
99886-53400-BH;V de Valparaíso;Santo Domingo
10100-36077-KE;XVI de Ñuble;Quillón
50631-69907-LF;VIII del Bío-Bío;Santa Juana
93302-19890-NJ;IX de La Araucanía;Los Sauces
29785-65773-HK;X de Los Lagos;Llanquihue
31309-89991-EG;XII de Magallanes y de La Antártica Chilena;Porvenir
8471-35164-KB;V de Valparaíso;San Esteban
59004-27045-JL;V de Valparaíso;Panquehue
77861-12740-KJ;XIV de Los Ríos;Lanco
12001-60817-MB;Metropolitana de Santiago;Lo Espejo
34006-37561-BE;VIII del Bío-Bío;Yumbel
52760-42600-ON;VII del Maule;Romeral
97469-80916-EE;VII del Maule;Parral
79687-34833-JI;Metropolitana de Santiago;Curacaví
19766-82659-HO;II de Antofagasta;Antofagasta
89095-7188-FD;V de Valparaíso;Calle Larga
46811-23968-BL;XIV de Los Ríos;Corral
24470-21451-JH;VI del Libertador General Bernardo O'Higgins;Navidad
53307-6628-NF;VII del Maule;Chanco
97722-80196-LB;V de Valparaíso;Limache
3501-63152-LI;V de Valparaíso;Zapallar
50121-93115-GF;VI del Libertador General Bernardo O'Higgins;Pichidegua
61371-92224-KB;Metropolitana de Santiago;Lampa
34277-2129-JJ;VII del Maule;Retiro
89614-60949-OH;VIII del Bío-Bío;Yumbel
61536-89201-HM;I de Tarapacá;Camiña
14711-58423-AD;IX de La Araucanía;Lumaco
25157-21209-ML;V de Valparaíso;San Esteban
89430-58917-DB;V de Valparaíso;Catemu
21499-72873-EH;Metropolitana de Santiago;Pudahuel
85022-46675-AK;V de Valparaíso;Villa Alemana
32828-89511-HG;X de Los Lagos;Frutillar
47832-64488-BG;IX de La Araucanía;Pitrufquén
24904-23748-BI;VI del Libertador General Bernardo O'Higgins;Peralillo
27189-59305-NG;X de Los Lagos;San Juan de la Costa
30136-13475-AH;XIV de Los Ríos;Lago Ranco
21822-36620-LO;VIII del Bío-Bío;Negrete
22372-68023-EH;XI de Aysén del General Carlos Ibáñez del Campo;O'Higgins
1829-18681-LI;VIII del Bío-Bío;Negrete
95979-27901-IB;X de Los Lagos;Osorno
19588-47331-JJ;VI del Libertador General Bernardo O'Higgins;San Fernando
45266-10913-LN;VI del Libertador General Bernardo O'Higgins;Graneros
29096-23357-ME;III de Atacama;Vallenar
77386-52683-EG;IV de Coquimbo;Los Vilos
19310-54365-OE;V de Valparaíso;Juan Fernández
43664-93775-OI;Metropolitana de Santiago;Talagante
87425-9962-IG;IX de La Araucanía;Melipeuco
33166-85025-OM;IX de La Araucanía;Lonquimay
61836-57321-FB;VIII del Bío-Bío;Hualqui
82546-95571-AA;Metropolitana de Santiago;Vitacura
50193-72928-AH;I de Tarapacá;Huara
904-86178-DG;Metropolitana de Santiago;Lo Espejo
22374-83167-EM;XVI de Ñuble;Coelemu
24062-10919-ND;IV de Coquimbo;Vicuña
28425-12937-IB;VII del Maule;San Javier
19629-90799-LD;VI del Libertador General Bernardo O'Higgins;Coltauco
22810-19370-BB;X de Los Lagos;Quinchao
87300-74831-FE;VII del Maule;Yerbas Buenas
3617-10926-JM;VIII del Bío-Bío;Quilaco
40113-27619-HO;IV de Coquimbo;Vicuña
27073-76767-ID;Metropolitana de Santiago;San José de Maipo
4538-48430-BI;Metropolitana de Santiago;Cerrillos
82619-19846-HB;Metropolitana de Santiago;San Miguel
11639-33510-ME;IX de La Araucanía;Temuco
57744-28348-LO;X de Los Lagos;Hualaihué
70894-52069-JL;XVI de Ñuble;Ránquil
49631-27750-BJ;Metropolitana de Santiago;La Cisterna
6056-15000-MF;V de Valparaíso;Olmué
30560-22400-DO;Metropolitana de Santiago;Ñuñoa
77410-35567-MO;Metropolitana de Santiago;El Bosque
59852-90238-BB;XVI de Ñuble;Chillán
66743-57810-ND;VI del Libertador General Bernardo O'Higgins;Pichidegua
72877-63814-FD;Metropolitana de Santiago;San Ramón
48624-2235-BF;X de Los Lagos;Calbuco
33442-87828-BO;VII del Maule;Retiro
31692-18623-DL;V de Valparaíso;Petorca
21672-35494-EL;IV de Coquimbo;Vicuña
98518-63964-LE;I de Tarapacá;Huara
18589-2418-GB;Metropolitana de Santiago;San Miguel
63520-12687-ND;IX de La Araucanía;Victoria
12420-26356-BB;Metropolitana de Santiago;Quinta Normal
21010-8481-JE;Metropolitana de Santiago;Lampa
95890-45164-DF;VII del Maule;Rauco
31437-12001-FO;Metropolitana de Santiago;San Pedro
22048-93195-FB;IX de La Araucanía;Teodoro Schmidt
67445-11145-BE;Metropolitana de Santiago;La Florida
85561-98565-OH;VI del Libertador General Bernardo O'Higgins;Olivar
18223-14742-LD;V de Valparaíso;Casablanca
94088-16822-IO;VIII del Bío-Bío;Negrete
16901-51983-EG;XV de Arica y Parinacota;Putre
38175-59474-AB;IX de La Araucanía;Nueva Imperial
47081-94375-FK;V de Valparaíso;La Ligua
64025-80557-EJ;Metropolitana de Santiago;Renca
14854-91616-EJ;VIII del Bío-Bío;Tucapel
33646-83999-JB;VII del Maule;Constitución
39909-58905-BH;V de Valparaíso;Catemu
